"SQN_ID","SQN_E_ID","SQN_QN_Tag","SQN_QN1","SQN_QN2","SQN_QN3","SQN_QN4","SQN_QN5","SQN_QN6","SQN_Case","SQN_Label","SQN_SLAP_Label","SQN_ValueFloat","SQN_ValueString","SQN_ColumnValue","SQN_ColumnValueFunction","SQN_SpinRef","SQN_Attribute","SQN_Order","SQN_Comment"
520,238,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
525,239,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
530,240,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
535,257,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
540,259,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
545,260,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
550,261,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
555,262,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
560,301,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
565,302,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
570,313,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
575,314,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
580,359,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
585,409,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
590,410,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
595,468,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
600,473,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
605,479,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
610,480,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
615,486,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
620,504,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
625,528,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
650,570,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
655,578,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
660,579,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
665,614,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
670,639,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1742,515,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
700,91,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
705,107,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
710,108,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
715,109,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
720,110,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
725,127,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
730,128,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
735,142,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
740,144,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
755,211,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
760,218,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
765,224,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
770,225,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
775,230,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
780,244,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
785,246,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
790,248,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
795,265,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
800,271,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
805,285,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
810,286,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
815,287,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
820,293,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
825,294,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
830,305,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
835,306,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
840,307,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
845,308,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
850,319,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
900,400,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
905,401,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
910,436,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
915,446,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
920,447,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
925,448,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
930,449,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
940,452,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
945,456,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
950,457,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
955,458,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
960,459,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
965,460,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
970,461,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
975,462,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
980,483,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
985,484,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
990,519,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1005,546,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1020,658,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1025,676,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1030,677,303,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1040,725,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1045,714,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1055,116,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1060,131,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1070,134,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1075,147,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1080,148,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1085,155,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1090,176,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1095,203,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1100,216,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1105,227,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1110,304,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1115,315,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1120,333,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1125,334,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1135,235,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1145,734,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1155,749,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1160,759,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1165,770,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1170,777,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1175,782,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1180,783,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1185,804,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1195,816,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1200,823,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1205,838,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1210,853,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1215,858,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1225,877,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1230,883,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1235,888,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1240,896,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1245,901,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1260,909,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1265,913,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1270,914,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1275,916,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1280,918,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1305,927,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1320,935,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1345,947,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1350,948,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1360,951,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1365,954,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1370,955,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1380,963,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1385,969,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1390,970,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1405,976,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1410,977,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1415,983,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1420,989,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1425,992,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1430,994,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1440,1000,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1445,1003,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1450,1005,303,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1736,514,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1730,513,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1724,512,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1718,511,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1712,462,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1706,461,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1700,459,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1694,458,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1688,457,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1682,430,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1676,267,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1670,265,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1664,249,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1658,247,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1652,231,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1634,110,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1628,91,304,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1616,235,304,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1748,479,304,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1754,725,304,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1760,783,304,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1766,816,304,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1772,877,304,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1778,963,304,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1784,977,304,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1790,989,304,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1796,994,304,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1802,1003,304,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1808,332,314,,,,,,,"nltcs","vi","VibrationalNu",0,"",,"","","",6,""
1814,536,314,,,,,,,"asymos","vi","VibrationalNu",0,"",,"","","",6,""
1820,541,314,,,,,,,"nltcs","vi","VibrationalNu",0,"",,"","","",6,""
1826,92,314,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1832,335,314,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1838,336,314,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1844,396,314,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1850,450,314,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1856,540,314,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1862,653,314,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1868,655,314,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1874,659,314,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1880,660,314,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
1886,187,314,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1892,188,314,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1898,189,314,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1904,190,314,,,,,,,"asymos","vi","VibrationalNu",0,"",,"","","",6,""
1910,202,314,,,,,,,"asymos","vi","VibrationalNu",0,"",,"","","",6,""
1928,779,314,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1934,836,314,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1940,841,314,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1946,938,314,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
1952,985,314,,,,,,,"nltcs","vi","VibrationalNu",0,"",,"","","",6,""
2147,561,325,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
2140,554,325,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
2133,518,325,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
2126,168,325,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
2119,150,325,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
2112,92,325,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
2105,444,325,,,,,,,"asymos","vi","VibrationalNu",0,"",,"","","",6,""
2154,679,325,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
2161,683,325,,,,,,,"nlp","vi","VibrationalNu",0,"",,"","","",6,""
3514,116,2305,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
8390,241,1404,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
3399,949,1404,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
3393,769,1404,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
3387,965,1404,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
3375,998,1404,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
3247,39,1404,,,,,,,"asymcs","vi","VibrationalNu",0,"",,"","","",6,""
3734,210,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3729,209,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3724,208,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3719,207,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3714,199,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3709,191,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3704,158,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3699,30,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3739,214,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3744,215,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3749,217,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3754,534,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3759,543,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3764,545,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3769,644,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3774,682,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3779,684,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3784,689,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3789,702,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
3794,710,202,,,,,,,"stcs","vi","VibrationalNu",0,"",,"","","",6,""
